Chain,Token ID,image URL,Profile,Speed,Stamina,Defence,Special Move,Punch,Kick,Total,Skin,Eye Brow,Eye Lense,Eye Shapes,Hair,Lips,Gloves,Pants,Full Costumes,Shoes,Eyelid,Chest Tattoo,Arm Tattoo,Legs Tattoo,Glasses,Face Tattoo,Forehead Tattoo,Mustache,Chain
ETH,1,https://ik.imagekit.io/xanalia/breaking-down/v10/0006.png,Juggernaut,49,62,47,74,53,70,355,Burgundy,Low Curved - Golden,Natural - Ice Grey,Thin Confident - Burgundy,Spikes Top - Golden,Rasp Wicked,Highlight - Orange and Black,Silver Shine - Emrald Green and Silver,,,,,ZigZag,,Star - Golden Black,,,,Crossed
ETH,2,https://ik.imagekit.io/xanalia/breaking-down/v4/0401.png,Juggernaut,49,62,53,68,61,62,355,Burgundy,Angry - Golden,Crystal - Jade Green,Sharp - Burgundy,Front Spikes - Golden,Rasp Wicked,Neo-G - Orange and Black,Neo-P - Magenta and Black,,,,,,,,,,,
ETH,3,https://ik.imagekit.io/xanalia/breaking-down/v8/0125.png,Phoenix,67,44,67,54,79,46,357,Almond,Thick Flat - Bronze,Medallion - Blue,Confident - Almond,Waves - Bronze,Candied Toffees,Neo-G - Green and Black,Silver Shine - Black and Silver,,,,,,,,,,,
ETH,4,https://ik.imagekit.io/xanalia/breaking-down/v8/0015.png,Brawler,53,58,55,66,43,82,357,Umber,Flat Edge - Dark Brown,Natural - Gemstone Green,Thick Angled - Umber,Elegant Fade - Dark Brown,Madrid Deep,,,Komeo - Red,Run Strip,,,,,,,,,
ETH,5,https://ik.imagekit.io/xanalia/breaking-down/v14/0356.png,Juggernaut,52,59,64,57,58,65,355,Burgundy,Flat Edge - Brownish Orange,Crystal - Hazel Brown,Narrow Pointy - Burgundy,Mid Height - Brownish Orange,Rasp Wicked,,,3 Piece Suite - Black,Joggers High,,,,Ancient,Funky - Yellow,,,,
ETH,6,https://ik.imagekit.io/xanalia/breaking-down/v10/0273.png,Berserker,49,62,81,40,69,52,353,Sand,Bulky Rounded - Pinkish Red,Crystal - Ice Grey,Wave Rounded - Sand,Mid Straight - Pinkish Red,Bronze Beauty,,,Urita - Seal Brown,Slip-On,,Fairy,Howl,,,,,,
ETH,7,https://ik.imagekit.io/xanalia/breaking-down/v14/0067.png,Brawler,50,61,64,57,52,73,357,Umber,Mid Flat - Black,Natural - Hazel,Low Flat - Umber,Spikes - Black,Madrid Deep,,,Tornado - Silver,Sneakers,,,,,,,,,
ETH,8,https://ik.imagekit.io/xanalia/breaking-down/v1/0251.png,Phoenix,64,47,64,57,76,49,357,Almond,Medium Flat - Dark Brown,Mermaid - Brown,Flat - Almond,Front Spikes - Dark Brown,Candied Toffees,Neo - Magenta and Black,Class Gold - Deep Purple and Black,,,,,,,,,,,
ETH,9,https://ik.imagekit.io/xanalia/breaking-down/v1/0279.png,Unstoppable,66,45,76,45,64,57,353,Porcelean,Thick Rounded - Pinkish Red,Natural - Aqua,Mid Angled - Porcelean,Mid Straight - Pinkish Red,Double Espresso,Dark Combat - Royal Blue and Black,Bloody-R - Emrald Green and Black,,,,,Inferno,Round Twist,,,,,Chain Pendant
ETH,10,https://ik.imagekit.io/xanalia/breaking-down/v11/0353.png,Juggernaut,48,63,52,69,60,63,355,Burgundy,Low Curved - Dark Brown,Natural - Ice Grey,Sharp - Burgundy,Front Waves - Dark Brown,Rasp Wicked,Round Strip - Orange and Black,Dark Strip - Bluish Purple and White,,,,,,,,,,,
